"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Knight D.S.; Schwaiger J.P.; Krupickova S.; Davar J.; Muthurangu V.; Coghlan J.G.","Knight, Daniel S. (55589453200); Schwaiger, Johannes P. (14052989000); Krupickova, Sylvia (33667688400); Davar, Joseph (6507903916); Muthurangu, Vivek (7801671480); Coghlan, J. Gerry (35393553500)","55589453200; 14052989000; 33667688400; 6507903916; 7801671480; 35393553500","Accuracy and Test-Retest Reproducibility of Two-Dimensional Knowledge-Based Volumetric Reconstruction of the Right Ventricle in Pulmonary Hypertension","2015","Journal of the American Society of Echocardiography","28","8","","989","998","9","19","10.1016/j.echo.2015.02.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938546753&doi=10.1016%2fj.echo.2015.02.020&partnerID=40&md5=20c88650b95f312dfab748ac06731bc5","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84938546753"
"Martinez-Naharro A.; Kotecha T.; Norrington K.; Boldrini M.; Rezk T.; Quarta C.; Treibel T.A.; Whelan C.J.; Knight D.S.; Kellman P.; Ruberg F.L.; Gillmore J.D.; Moon J.C.; Hawkins P.N.; Fontana M.","Martinez-Naharro, Ana (55343433500); Kotecha, Tushar (38661453500); Norrington, Karl (56074685100); Boldrini, Michele (55258660000); Rezk, Tamer (55985701600); Quarta, Candida (56619484400); Treibel, Thomas A. (15754511800); Whelan, Carol J. (36647033100); Knight, Daniel S. (55589453200); Kellman, Peter (7004851504); Ruberg, Frederick L. (6505829458); Gillmore, Julian D. (7003539031); Moon, James C. (7403231345); Hawkins, Philip N. (35464959200); Fontana, Marianna (16306839900)","55343433500; 38661453500; 56074685100; 55258660000; 55985701600; 56619484400; 15754511800; 36647033100; 55589453200; 7004851504; 6505829458; 7003539031; 7403231345; 35464959200; 16306839900","Native T1 and Extracellular Volume in Transthyretin Amyloidosis","2019","JACC: Cardiovascular Imaging","12","5","","810","819","9","225","10.1016/j.jcmg.2018.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043534019&doi=10.1016%2fj.jcmg.2018.02.006&partnerID=40&md5=7c99d61d582a4eb593326da3a50824f9","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85043534019"
"Bulluck H.; Hammond-Haley M.; Fontana M.; Knight D.S.; Sirker A.; Herrey A.S.; Manisty C.; Kellman P.; Moon J.C.; Hausenloy D.J.","Bulluck, Heerajnarain (53981151600); Hammond-Haley, Matthew (57188575219); Fontana, Marianna (16306839900); Knight, Daniel S. (55589453200); Sirker, Alex (24077375900); Herrey, Anna S. (26534328000); Manisty, Charlotte (6504025861); Kellman, Peter (7004851504); Moon, James C. (7403231345); Hausenloy, Derek J. (6602976997)","53981151600; 57188575219; 16306839900; 55589453200; 24077375900; 26534328000; 6504025861; 7004851504; 7403231345; 6602976997","Quantification of both the area-at-risk and acute myocardial infarct size in ST-segment elevation myocardial infarction using T1-mapping","2017","Journal of Cardiovascular Magnetic Resonance","19","1","57","","","","45","10.1186/s12968-017-0370-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026517157&doi=10.1186%2fs12968-017-0370-6&partnerID=40&md5=3ae50502a3dd5feef829a5f4578d0262","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85026517157"
"Bandera F.; Martone R.; Chacko L.; Ganesananthan S.; Gilbertson J.A.; Ponticos M.; Lane T.; Martinez-Naharro A.; Whelan C.; Quarta C.; Rowczenio D.; Patel R.; Razvi Y.; Lachmann H.; Wechelakar A.; Brown J.; Knight D.; Moon J.; Petrie A.; Cappelli F.; Guazzi M.; Potena L.; Rapezzi C.; Leone O.; Hawkins P.N.; Gillmore J.D.; Fontana M.","Bandera, Francesco (55325767500); Martone, Raffaele (57200571622); Chacko, Liza (57210256202); Ganesananthan, Sharmananthan (57220863491); Gilbertson, Janet A. (7005657127); Ponticos, Markella (6602769002); Lane, Thirusha (41861760800); Martinez-Naharro, Ana (55343433500); Whelan, Carol (36647033100); Quarta, Cristina (57347613400); Rowczenio, Dorota (14012189400); Patel, Rishi (57210156635); Razvi, Yousuf (57219044558); Lachmann, Helen (7004915734); Wechelakar, Ashutosh (57347924300); Brown, James (57212760167); Knight, Daniel (55589453200); Moon, James (57202314649); Petrie, Aviva (35974110300); Cappelli, Francesco (11541161800); Guazzi, Marco (7102760456); Potena, Luciano (6602877926); Rapezzi, Claudio (7005883289); Leone, Ornella (7004143746); Hawkins, Philip N. (35464959200); Gillmore, Julian D. (7003539031); Fontana, Marianna (16306839900)","55325767500; 57200571622; 57210256202; 57220863491; 7005657127; 6602769002; 41861760800; 55343433500; 36647033100; 57347613400; 14012189400; 57210156635; 57219044558; 7004915734; 57347924300; 57212760167; 55589453200; 57202314649; 35974110300; 11541161800; 7102760456; 6602877926; 7005883289; 7004143746; 35464959200; 7003539031; 16306839900","The Authors’ Reply","2021","JACC: Cardiovascular Imaging","14","11","","2268","2269","1","0","10.1016/j.jcmg.2021.09.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119515786&doi=10.1016%2fj.jcmg.2021.09.025&partnerID=40&md5=e1bfa130eaebc4267acb6c87ccbf1952","Letter","Final","","Scopus","2-s2.0-85119515786"
"Knight D.; Muthurangu V.","Knight, Daniel (55589453200); Muthurangu, Vivek (7801671480)","55589453200; 7801671480","CMR Assessment of Mitral Regurgitation","2021","Transcatheter Mitral Valve Therapies","","","","51","61","10","0","10.1002/9781119763741.ch5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153808292&doi=10.1002%2f9781119763741.ch5&partnerID=40&md5=29cf885c31932f7f519337ec07f873b7","Book chapter","Final","","Scopus","2-s2.0-85153808292"
"Knight D.; Muthurangu V.","Knight, Daniel (55589453200); Muthurangu, Vivek (7801671480)","55589453200; 7801671480","Pulmonary hypertension","2023","Magnetic Resonance Imaging of Congenital Heart Disease","","","","137","146","9","0","10.1007/978-3-031-29235-4_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194018657&doi=10.1007%2f978-3-031-29235-4_8&partnerID=40&md5=de988517d818091c761064dcf8a36d18","Book chapter","Final","","Scopus","2-s2.0-85194018657"
"Chacko L.; Martone R.; Bandera F.; Lane T.; Martinez-Naharro A.; Boldrini M.; Rezk T.; Whelan C.; Quarta C.; Rowczenio D.; Gilbertson J.A.; Wongwarawipat T.; Lachmann H.; Wechalekar A.; Sachchithanantham S.; Mahmood S.; Marcucci R.; Knight D.; Hutt D.; Moon J.; Petrie A.; Cappelli F.; Guazzi M.; Hawkins P.N.; Gillmore J.D.; Fontana M.","Chacko, Liza (57210256202); Martone, Raffaele (57200571622); Bandera, Francesco (55325767500); Lane, Thirusha (41861760800); Martinez-Naharro, Ana (55343433500); Boldrini, Michele (55258660000); Rezk, Tamer (55985701600); Whelan, Carol (36647033100); Quarta, Cristina (56619484400); Rowczenio, Dorota (14012189400); Gilbertson, Janet A (7005657127); Wongwarawipat, Tanakal (57196056137); Lachmann, Helen (7004915734); Wechalekar, Ashutosh (6506002568); Sachchithanantham, Sajitha (55621355900); Mahmood, Shameem (50361564300); Marcucci, Rossella (57202554432); Knight, Daniel (55589453200); Hutt, David (55985822300); Moon, James (57202314649); Petrie, Aviva (35974110300); Cappelli, Francesco (11541161800); Guazzi, Marco (7102760456); Hawkins, Philip N (35464959200); Gillmore, Julian D (7003539031); Fontana, Marianna (16306839900)","57210256202; 57200571622; 55325767500; 41861760800; 55343433500; 55258660000; 55985701600; 36647033100; 56619484400; 14012189400; 7005657127; 57196056137; 7004915734; 6506002568; 55621355900; 50361564300; 57202554432; 55589453200; 55985822300; 57202314649; 35974110300; 11541161800; 7102760456; 35464959200; 7003539031; 16306839900","Echocardiographic phenotype and prognosis in transthyretin cardiac amyloidosis","2020","European Heart Journal","41","14","","1439","1447a","8","139","10.1093/eurheartj/ehz905","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080920287&doi=10.1093%2feurheartj%2fehz905&partnerID=40&md5=fb11282a9ea3cfe7c0c64dd620d7d275","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85080920287"
"Martinez-Naharro A.; Abdel-Gadir A.; Treibel T.A.; Zumbo G.; Knight D.S.; Rosmini S.; Lane T.; Mahmood S.; Sachchithanantham S.; Whelan C.J.; Lachmann H.J.; Wechalekar A.D.; Kellman P.; Gillmore J.D.; Moon J.C.; Hawkins P.N.; Fontana M.","Martinez-Naharro, Ana (55343433500); Abdel-Gadir, Amna (56528300800); Treibel, Thomas A. (15754511800); Zumbo, Giulia (57193211591); Knight, Daniel S. (55589453200); Rosmini, Stefania (35620856500); Lane, Thirusha (41861760800); Mahmood, Shameem (50361564300); Sachchithanantham, Sajitha (55621355900); Whelan, Carol J. (36647033100); Lachmann, Helen J. (7004915734); Wechalekar, Ashutosh D. (6506002568); Kellman, Peter (7004851504); Gillmore, Julian D. (7003539031); Moon, James C. (7403231345); Hawkins, Philip N. (35464959200); Fontana, Marianna (16306839900)","55343433500; 56528300800; 15754511800; 57193211591; 55589453200; 35620856500; 41861760800; 50361564300; 55621355900; 36647033100; 7004915734; 6506002568; 7004851504; 7003539031; 7403231345; 35464959200; 16306839900","CMR-Verified Regression of Cardiac AL Amyloid After Chemotherapy","2018","JACC: Cardiovascular Imaging","11","1","","152","154","2","103","10.1016/j.jcmg.2017.02.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017454304&doi=10.1016%2fj.jcmg.2017.02.012&partnerID=40&md5=7072f4acb20dd5dce4cc1d8681d1909b","Letter","Final","","Scopus","2-s2.0-85017454304"
"Martinez-Naharro A.; Treibel T.A.; Abdel-Gadir A.; Bulluck H.; Zumbo G.; Knight D.S.; Kotecha T.; Francis R.; Hutt D.F.; Rezk T.; Rosmini S.; Quarta C.C.; Whelan C.J.; Kellman P.; Gillmore J.D.; Moon J.C.; Hawkins P.N.; Fontana M.","Martinez-Naharro, Ana (55343433500); Treibel, Thomas A. (15754511800); Abdel-Gadir, Amna (56528300800); Bulluck, Heerajnarain (53981151600); Zumbo, Giulia (57193211591); Knight, Daniel S. (55589453200); Kotecha, Tushar (38661453500); Francis, Rohin (57194779300); Hutt, David F. (55985822300); Rezk, Tamer (55985701600); Rosmini, Stefania (35620856500); Quarta, Candida C. (56619484400); Whelan, Carol J. (36647033100); Kellman, Peter (7004851504); Gillmore, Julian D. (7003539031); Moon, James C. (7403231345); Hawkins, Philip N. (35464959200); Fontana, Marianna (16306839900)","55343433500; 15754511800; 56528300800; 53981151600; 57193211591; 55589453200; 38661453500; 57194779300; 55985822300; 55985701600; 35620856500; 56619484400; 36647033100; 7004851504; 7003539031; 7403231345; 35464959200; 16306839900","Magnetic Resonance in Transthyretin Cardiac Amyloidosis","2017","Journal of the American College of Cardiology","70","4","","466","477","11","351","10.1016/j.jacc.2017.05.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028607026&doi=10.1016%2fj.jacc.2017.05.053&partnerID=40&md5=b6d038eac58f77c3b21ba9c88d4bfdfd","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85028607026"
"Patel R.K.; Bandera F.; Venneri L.; Knight D.; Porcari A.; Muthurangu V.; Guazzi M.; Hawkins P.N.; Gillmore J.D.; Fontana M.","Patel, Rishi K. (57210156635); Bandera, Francesco (55325767500); Venneri, Lucia (6506276972); Knight, Daniel (55589453200); Porcari, Aldostefano (57201271007); Muthurangu, Vivek (7801671480); Guazzi, Marco (7102760456); Hawkins, Philip N. (35464959200); Gillmore, Julian D. (7003539031); Fontana, Marianna (16306839900)","57210156635; 55325767500; 6506276972; 55589453200; 57201271007; 7801671480; 7102760456; 35464959200; 7003539031; 16306839900","Cardiopulmonary Exercise Testing With Exercise Echocardiography to Assess Treatment Response in Transthyretin Amyloid Cardiomyopathy","2025","JACC: Heart Failure","13","5","","857","859","2","0","10.1016/j.jchf.2025.01.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003311380&doi=10.1016%2fj.jchf.2025.01.020&partnerID=40&md5=7b29321c2cb046ebbc43277c1c012ed2","Letter","Final","","Scopus","2-s2.0-105003311380"
