"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Hauser J.A.; Muthurangu V.; Pandya B.; Michel-Behnke I.; Taylor A.M.; Demyanets S.","Hauser, Jakob A. (37034141400); Muthurangu, Vivek (7801671480); Pandya, Bejal (12545915200); Michel-Behnke, Ina (6603959427); Taylor, Andrew M. (57195810900); Demyanets, Svitlana (12789721700)","37034141400; 7801671480; 12545915200; 6603959427; 57195810900; 12789721700","Postprandial variability of novel heart failure biomarkers in Fontan patients compared to healthy volunteers","2021","International Journal of Cardiology Congenital Heart Disease","3","","100127","","","","1","10.1016/j.ijcchd.2021.100127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208515756&doi=10.1016%2fj.ijcchd.2021.100127&partnerID=40&md5=7dae09142ab1bc352abee5f3e4a5232f","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208515756"
"Hauser J.A.; Muthurangu V.; Sattar N.; Taylor A.M.; Jones A.","Hauser, Jakob A. (37034141400); Muthurangu, Vivek (7801671480); Sattar, Naveed (7007043802); Taylor, Andrew M. (57195810900); Jones, Alexander (12795736600)","37034141400; 7801671480; 7007043802; 57195810900; 12795736600","Postprandial Vascular Dysfunction Is Associated With Raised Blood Pressure and Adverse Left Ventricular Remodeling in Adolescent Adiposity","2019","Circulation. Cardiovascular imaging","12","11","","e009172","","","3","10.1161/CIRCIMAGING.119.009172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074742108&doi=10.1161%2fCIRCIMAGING.119.009172&partnerID=40&md5=c31ae4575d838575865943befa37dc34","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85074742108"
"Beroukhim R.S.; Merlocco A.; Gerardin J.F.; Tham E.; Patel J.K.; Siddiqui S.; Goot B.; Farooqi K.; Soslow J.; Grotenhuis H.; Hor K.; Muthurangu V.; Raimondi F.","Beroukhim, Rebecca S. (14321237400); Merlocco, Anthony (23028417700); Gerardin, Jennifer F. (55200840700); Tham, Edythe (23010875000); Patel, Jyoti K. (56900427900); Siddiqui, Saira (56526235600); Goot, Benjamin (54929892800); Farooqi, Kanwal (33267631300); Soslow, Jonathan (12761411800); Grotenhuis, Heynric (8713719600); Hor, Kan (25724362600); Muthurangu, Vivek (7801671480); Raimondi, Francesca (56835316000)","14321237400; 23028417700; 55200840700; 23010875000; 56900427900; 56526235600; 54929892800; 33267631300; 12761411800; 8713719600; 25724362600; 7801671480; 56835316000","Multicenter research priorities in pediatric CMR: results of a collaborative wiki survey","2023","Scientific Reports","13","1","9022","","","","3","10.1038/s41598-023-34720-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160894569&doi=10.1038%2fs41598-023-34720-9&partnerID=40&md5=2738a6d02e61e688c5b934035dbc4957","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160894569"
"Kelm M.; Goubergrits L.; Bruening J.; Yevtushenko P.; Fernandes J.F.; Sündermann S.H.; Berger F.; Falk V.; Kuehne T.; Nordmeyer S.; Morley-Fletcher E.; De Maldè M.; Muthurangu V.; Khushnood A.; Chinali M.; Pongiglione G.; Hennemuth A.; Mirzae H.; Neugebauer M.; Ecabert O.; Neumann D.; Groenenboom P.; Plank G.; Manset D.; McGuire A.; Naci H.; Salcher M.","Kelm, M. (56645997700); Goubergrits, L. (6603944840); Bruening, J. (57192942706); Yevtushenko, P. (55804052100); Fernandes, J.F. (56511070500); Sündermann, S.H. (36085538600); Berger, F. (7201361048); Falk, V. (26867592300); Kuehne, T. (6603086969); Nordmeyer, S. (36348666900); Morley-Fletcher, E. (6505707673); De Maldè, M. (57207102668); Muthurangu, V. (7801671480); Khushnood, A. (57087011000); Chinali, M. (7801533510); Pongiglione, G. (6701392210); Hennemuth, A. (6507583811); Mirzae, H. (57207113220); Neugebauer, M. (23493089200); Ecabert, O. (13406324400); Neumann, D. (53866980300); Groenenboom, P. (6602503211); Plank, G. (7003297659); Manset, D. (57210633188); McGuire, A. (55551171500); Naci, H. (24475357200); Salcher, M. (57189887450)","56645997700; 6603944840; 57192942706; 55804052100; 56511070500; 36085538600; 7201361048; 26867592300; 6603086969; 36348666900; 6505707673; 57207102668; 7801671480; 57087011000; 7801533510; 6701392210; 6507583811; 57207113220; 23493089200; 13406324400; 53866980300; 6602503211; 7003297659; 57210633188; 55551171500; 24475357200; 57189887450","Publisher Correction: Model-Based Therapy Planning Allows Prediction of Haemodynamic Outcome after Aortic Valve Replacement (Scientific Reports, (2017), 7, 1, (9897), 10.1038/s41598-017-03693-x)","2019","Scientific Reports","9","1","3327","","","","0","10.1038/s41598-018-36022-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062175967&doi=10.1038%2fs41598-018-36022-x&partnerID=40&md5=7dc3c13c574aa82fbd616c6d47d516e7","Erratum","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85062175967"
"Cheang M.H.; Barber N.J.; Khushnood A.; Hauser J.A.; Kowalik G.T.; Steeden J.A.; Quail M.A.; Tullus K.; Hothi D.; Muthurangu V.","Cheang, Mun Hong (56976091500); Barber, Nathaniel J. (56609890400); Khushnood, Abbas (57087011000); Hauser, Jakob A. (37034141400); Kowalik, Gregorz T. (6602362169); Steeden, Jennifer A. (36605240600); Quail, Michael A. (35380885000); Tullus, Kjell (16409790600); Hothi, Daljit (13604772600); Muthurangu, Vivek (7801671480)","56976091500; 56609890400; 57087011000; 37034141400; 6602362169; 36605240600; 35380885000; 16409790600; 13604772600; 7801671480","A comprehensive characterization of myocardial and vascular phenotype in pediatric chronic kidney disease using cardiovascular magnetic resonance imaging","2018","Journal of Cardiovascular Magnetic Resonance","20","1","24","","","","5","10.1186/s12968-018-0444-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044754324&doi=10.1186%2fs12968-018-0444-0&partnerID=40&md5=74a2606dad9883f592377eab3776c55a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85044754324"
"Quail M.A.; Muthurangu V.","Quail, Michael A. (35380885000); Muthurangu, Vivek (7801671480)","35380885000; 7801671480","An Unwelcome Embrace","2017","Circulation: Cardiovascular Imaging","10","2","e006063","","","","0","10.1161/CIRCIMAGING.117.006063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013467003&doi=10.1161%2fCIRCIMAGING.117.006063&partnerID=40&md5=b88c2116e0fcf0588bb7c3c54d53aafc","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85013467003"
"Brown J.T.; Saigal A.; Karia N.; Patel R.K.; Razvi Y.; Constantinou N.; Steeden J.A.; Mandal S.; Kotecha T.; Fontana M.; Goldring J.; Muthurangu V.; Knight D.S.","Brown, James T. (57212760167); Saigal, Anita (39062053700); Karia, Nina (37122124800); Patel, Rishi K. (57210156635); Razvi, Yousuf (57219044558); Constantinou, Natalie (57675881400); Steeden, Jennifer A. (36605240600); Mandal, Swapna (53463635000); Kotecha, Tushar (38661453500); Fontana, Marianna (16306839900); Goldring, James (25027606200); Muthurangu, Vivek (7801671480); Knight, Daniel S. (55589453200)","57212760167; 39062053700; 37122124800; 57210156635; 57219044558; 57675881400; 36605240600; 53463635000; 38661453500; 16306839900; 25027606200; 7801671480; 55589453200","Ongoing Exercise Intolerance Following COVID-19: A Magnetic Resonance– Augmented Cardiopulmonary Exercise Test Study","2022","Journal of the American Heart Association","11","9","e024207","","","","20","10.1161/JAHA.121.024207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129780771&doi=10.1161%2fJAHA.121.024207&partnerID=40&md5=e07b07ae6287d84e992a5a9f571962a7","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85129780771"
"Montalt-Tordera J.; Quail M.; Steeden J.A.; Muthurangu V.","Montalt-Tordera, Javier (57204789341); Quail, Michael (35380885000); Steeden, Jennifer A (36605240600); Muthurangu, Vivek (7801671480)","57204789341; 35380885000; 36605240600; 7801671480","Reducing Contrast Agent Dose in Cardiovascular MR Angiography with Deep Learning","2021","Journal of Magnetic Resonance Imaging","54","3","","795","805","10","24","10.1002/jmri.27573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101257386&doi=10.1002%2fjmri.27573&partnerID=40&md5=8c2f674e178970017df80e25137e8a13","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85101257386"
"Quail M.A.; Short R.; Pandya B.; Steeden J.A.; Khushnood A.; Taylor A.M.; Segers P.; Muthurangu V.","Quail, Michael A. (35380885000); Short, Rebekah (57193111836); Pandya, Bejal (12545915200); Steeden, Jennifer A. (36605240600); Khushnood, Abbas (57087011000); Taylor, Andrew M. (57195810900); Segers, Patrick (7005378428); Muthurangu, Vivek (7801671480)","35380885000; 57193111836; 12545915200; 36605240600; 57087011000; 57195810900; 7005378428; 7801671480","Abnormal wave reflections and left ventricular hypertrophy late after coarctation of the aorta repair","2017","Hypertension","69","3","","501","509","8","77","10.1161/HYPERTENSIONAHA.116.08763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010858458&doi=10.1161%2fHYPERTENSIONAHA.116.08763&partnerID=40&md5=47dfc31799ccedd0067d083cfec207ce","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85010858458"
"Hauser J.A.; Burden S.J.; Karunakaran A.; Muthurangu V.; Taylor A.M.; Jones A.","Hauser, Jakob A. (37034141400); Burden, Samuel J. (57221253716); Karunakaran, Ajanthiha (58523485200); Muthurangu, Vivek (7801671480); Taylor, Andrew M. (57195810900); Jones, Alexander (12795736600)","37034141400; 57221253716; 58523485200; 7801671480; 57195810900; 12795736600","Whole-Body Magnetic Resonance Imaging Assessment of the Contributions of Adipose and Nonadipose Tissues to Cardiovascular Remodeling in Adolescents","2023","Journal of the American Heart Association","12","15","e030221","","","","1","10.1161/JAHA.123.030221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166772078&doi=10.1161%2fJAHA.123.030221&partnerID=40&md5=95dfd6d6b234f4388d9de2cb8562df64","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85166772078"
